"titles","imdb_rate","filmweb_rate","genre","mean_act_rate","dir.rate","filmweb_votes","imdb_votes","directors","star1","star2","star3","star4","filmweb_rate_01","imdb_rate_01"
"Ukryte Działania",7.8,7.36,"Biography",7.63469322146575,6.92,57609,189504,"Theodore Melfi","Taraji P. Henson","Octavia Spencer","Janelle Monáe","Kevin Costner",0.736,0.78
"Kubo I Dwie Struny",7.8,7.11,"Animation",7.96110971132547,7.45,28311,113570,"Travis Knight","Charlize Theron","Art Parkinson","Matthew McConaughey","Ralph Fiennes",0.711,0.78
"Manchester By The Sea",7.8,7.47,"Drama",7.43767294136189,8.3,110855,234535,"Kenneth Lonergan","Casey Affleck","Michelle Williams","Kyle Chandler","Lucas Hedges",0.747,0.78
"Pole Minowe",7.8,6.4,"War",7.13089711548445,7.31,4442,32743,"Martin Zandvliet","Roland Møller","Louis Hofmann","Joel Basman","Mikkel Boe Følsgaard",0.64,0.78
"Łotr 1. Gwiezdne Wojny - Historie",7.8,7.31,"Sci-Fi",7.64663197834708,7.3,152852,531952,"Gareth Edwards","Felicity Jones","Diego Luna","Alan Tudyk","Donnie Yen",0.731,0.78
"Kapitan Ameryka: Wojna Bohaterów",7.8,7.41,"Action",8.01273047681989,8.23,165383,635674,"Anthony Russo","Chris Evans","Robert Downey Jr.","Scarlett Johansson","Sebastian Stan",0.741,0.78
"Nienawistna Ósemka",7.8,7.52,"Crime",7.82082505832203,8.88,200458,490676,"Quentin Tarantino","Samuel L. Jackson","Kurt Russell","Jennifer Jason Leigh","Walton Goggins",0.752,0.78
"Twój Vincent",7.8,7.74,"Animation",7.71946014647436,8.11,66555,46978,"Dorota Kobiela","Douglas Booth","Jerome Flynn","Robert Gulaczyk","Helen McCrory",0.774,0.78
"Wolny Strzelec",7.8,7.29,"Crime",7.53128400722018,6.82,113190,441171,"Dan Gilroy","Jake Gyllenhaal","Rene Russo","Bill Paxton","Riz Ahmed",0.729,0.78
"Przeszłość",7.8,6.55,"Drama",7.11329134508436,7.91,12318,43568,"Asghar Farhadi","Bérénice Bejo","Tahar Rahim","Ali Mosaffa","Pauline Burlet",0.655,0.78
"Wielkie Piękno",7.8,7.47,"Drama",7.20396423344854,8.58,64532,77662,"Paolo Sorrentino","Toni Servillo","Carlo Verdone","Sabrina Ferilli","Carlo Buccirosso",0.747,0.78
"Czas Na Miłość",7.8,7.52,"Comedy",7.60159592979444,7.57,184593,285820,"Richard Curtis","Domhnall Gleeson","Rachel McAdams","Bill Nighy","Lydia Wilson",0.752,0.78
"W Kręgu Miłości",7.8,7.13,"Drama",7.05662837759197,7.1,19584,38288,"Felix van Groeningen","Veerle Baetens","Johan Heldenbergh","Nell Cattrysse","Geert Van Rampelberg",0.713,0.78
"Koneser",7.8,7.78,"Crime",7.77901771079758,8.42,145223,103763,"Giuseppe Tornatore","Geoffrey Rush","Jim Sturgess","Sylvia Hoeks","Donald Sutherland",0.778,0.78
"Jak Wytresować Smoka 2",7.8,7.3,"Animation",7.66898076384125,7.96,42851,295502,"Dean DeBlois","Jay Baruchel","Cate Blanchett","Gerard Butler","Craig Ferguson",0.73,0.78
"Big Short",7.8,7.3,"Biography",7.79054198306099,7.8,126644,342247,"Adam McKay","Christian Bale","Steve Carell","Ryan Gosling","Brad Pitt",0.73,0.78
"Ujrzałem Diabła",7.8,6.74,"Action",7.35182481135797,7.37,9832,103865,"Jee-woon Kim","Byung-hun Lee","Min-sik Choi","Gook-hwan Jeon","Joon-hyuk Lee",0.674,0.78
"Dziewczyna Z Tatuażem",7.8,7.65,"Crime",7.73070093363819,8.68,310764,407533,"David Fincher","Daniel Craig","Rooney Mara","Christopher Plummer","Stellan Skarsgård",0.765,0.78
"Kapitan Phillips",7.8,7.62,"Biography",7.50159445801213,7.85,201117,407748,"Paul Greengrass","Tom Hanks","Barkhad Abdi","Barkhad Abdirahman","Catherine Keener",0.762,0.78
"Hobbit: Pustkowie Smauga",7.8,7.55,"Adventure",8.02538786776449,8.48,304082,586798,"Peter Jackson","Ian McKellen","Martin Freeman","Richard Armitage","Ken Stott",0.755,0.78
"Biała Wstążka",7.8,7.12,"Drama",6.75016655562958,8.3,29990,66609,"Michael Haneke","Christian Friedel","Ernst Jacobi","Leonie Benesch","Ulrich Tukur",0.712,0.78
"Millennium: Mężczyźni, Którzy Nienawidzą Kobiet",7.8,7.42,"Crime",7.09773018170229,7.16,80159,204795,"Niels Arden Oplev","Michael Nyqvist","Noomi Rapace","Ewa Fröling","Lena Endre",0.742,0.78
"Fighter",7.8,7.55,"Biography",7.45804531064936,7.65,105809,331032,"David O. Russell","Mark Wahlberg","Christian Bale","Amy Adams","Melissa Leo",0.755,0.78
"Uprowadzona",7.8,7.65,"Action",7.34414381507226,7.14,341720,554652,"Pierre Morel","Liam Neeson","Maggie Grace","Famke Janssen","Leland Orser",0.765,0.78
"Chłopiec W Pasiastej Piżamie",7.8,8.05,"Drama",7.63476612355345,7.3,383422,183635,"Mark Herman","Asa Butterfield","David Thewlis","Rupert Friend","Zac Mattoon O'Brien",0.805,0.78
"Hobbit: Niezwykła Podróż",7.8,7.56,"Adventure",8.13919910465858,8.48,378044,741699,"Peter Jackson","Martin Freeman","Ian McKellen","Richard Armitage","Andy Serkis",0.756,0.78
"Pokuta",7.8,7.41,"Drama",7.87453054127339,7.9,110326,240546,"Joe Wright","Keira Knightley","James McAvoy","Brenda Blethyn","Saoirse Ronan",0.741,0.78
"Drive",7.8,7.14,"Crime",7.73251068652146,8.04,207937,552295,"Nicolas Winding Refn","Ryan Gosling","Carey Mulligan","Bryan Cranston","Albert Brooks",0.714,0.78
"American Gangster",7.8,7.71,"Biography",7.99339076779323,7.93,189298,380862,"Ridley Scott","Denzel Washington","Russell Crowe","Chiwetel Ejiofor","Josh Brolin",0.771,0.78
"Avatar",7.8,7.38,"Sci-Fi",7.5942620494583,8.47,760858,1093545,"James Cameron","Sam Worthington","Zoe Saldana","Sigourney Weaver","Michelle Rodriguez",0.738,0.78
"Mr. Nobody",7.8,7.4,"Drama",7.29615918546894,7.51,142075,209424,"Jaco Van Dormael","Jared Leto","Sarah Polley","Diane Kruger","Linh Dan Pham",0.74,0.78
"Apocalypto",7.8,7.23,"Action",6.91839860338061,8.1,176456,282904,"Mel Gibson","Gerardo Taracena","Raoul Max Trujillo","Dalia Hernández","Rudy Youngblood",0.723,0.78
"Mała Miss",7.8,6.99,"Comedy",7.47986353580343,7.03,91745,427693,"Jonathan Dayton","Steve Carell","Toni Collette","Greg Kinnear","Abigail Breslin",0.699,0.78
"Hot Fuzz - Ostre Psy",7.8,6.92,"Action",7.74231650145493,8.18,50600,448515,"Edgar Wright","Simon Pegg","Nick Frost","Martin Freeman","Bill Nighy",0.692,0.78
"Ciekawy Przypadek Benjamina Buttona",7.8,7.67,"Drama",8.04505960259901,8.68,484307,569845,"David Fincher","Brad Pitt","Cate Blanchett","Tilda Swinton","Julia Ormond",0.767,0.78
"Jabłka Adama",7.8,7.52,"Comedy",7.1167401331681,6.48,84238,44059,"Anders Thomas Jensen","Ulrich Thomsen","Mads Mikkelsen","Nicolas Bro","Paprika Steen",0.752,0.78
"Duma I Uprzedzenie",7.8,7.59,"Drama",7.70699983699941,7.9,150408,243832,"Joe Wright","Keira Knightley","Matthew Macfadyen","Brenda Blethyn","Donald Sutherland",0.759,0.78
"Prawdziwa Historia",7.8,7.45,"Biography",7.91588671066101,7.13,41981,50797,"Roger Donaldson","Anthony Hopkins","Diane Ladd","Iain Rea","Tessa Mitchell",0.745,0.78
"Serenity",7.8,6.63,"Action",7.54208143160759,6.9,22768,278117,"Joss Whedon","Nathan Fillion","Gina Torres","Chiwetel Ejiofor","Alan Tudyk",0.663,0.78
"Miasto Gniewu",7.8,7.5,"Crime",7.58870281332713,7.55,148012,412688,"Paul Haggis","Don Cheadle","Sandra Bullock","Thandie Newton","Karina Arroyave",0.75,0.78
"Spacer Po Linie",7.8,7.37,"Biography",7.81083996753323,7.68,60485,227235,"James Mangold","Joaquin Phoenix","Reese Witherspoon","Ginnifer Goodwin","Robert Patrick",0.737,0.78
"Zło",7.8,7.41,"Drama",7.61527583770882,7.22,49288,34854,"Mikael Håfström","Andreas Wilson","Henrik Lundström","Gustaf Skarsgård","Linda Zilliacus",0.741,0.78
"Pamiętnik",7.8,7.94,"Drama",7.74242711792827,6.68,352507,501933,"Nick Cassavetes","Gena Rowlands","James Garner","Rachel McAdams","Ryan Gosling",0.794,0.78
"Dzienniki Motocyklowe",7.8,6.88,"Adventure",7.1721583860062,7.02,16823,94647,"Walter Salles","Gael García Bernal","Rodrigo De la Serna","Mía Maestro","Mercedes Morán",0.688,0.78
"Lilja 4-Ever",7.8,6.82,"Crime",6.85684136475554,7.42,9418,41444,"Lukas Moodysson","Oksana Akinshina","Artyom Bogucharskiy","Pavel Ponomaryov","Lyubov Agapova",0.682,0.78
"Hrabia Monte Christo",7.8,7.25,"Adventure",7.67508174696422,7.38,49464,125729,"Kevin Reynolds","Jim Caviezel","Guy Pearce","Richard Harris","James Frain",0.725,0.78
"Zycie Swiadome",7.8,6.6,"Animation",7.10332582858259,7.96,6012,59388,"Richard Linklater","Ethan Hawke","Trevor Jack Brooks","Lorelei Linklater","Wiley Wiggins",0.66,0.78
"Tytani",7.8,7.27,"Biography",7.41254523495702,6.52,23827,192169,"Boaz Yakin","Denzel Washington","Will Patton","Wood Harris","Ryan Hurst",0.727,0.78
"Przyczajony Tygrys, Ukryty Smok",7.8,6.8,"Action",7.20734338340494,7.87,78607,247952,"Ang Lee","Yun-Fat Chow","Michelle Yeoh","Ziyi Zhang","Chen Chang",0.68,0.78
"Wszystko O Mojej Matce",7.8,7.39,"Drama",6.90307737260818,8.15,66780,85992,"Pedro Almodóvar","Cecilia Roth","Marisa Paredes","Candela Peña","Antonia San Juan",0.739,0.78
"Cast Away: Poza Światem",7.8,7.47,"Adventure",8.1649029655053,8.21,563055,504056,"Robert Zemeckis","Tom Hanks","Helen Hunt","Paul Sanchez","Lari White",0.747,0.78
"Swieci Z Bostonu",7.8,7.7,"Action",7.61113098649335,7.37,161828,223379,"Troy Duffy","Willem Dafoe","Sean Patrick Flanery","Norman Reedus","David Della Rocco",0.77,0.78
"Informator",7.8,7.23,"Biography",7.85195896719675,8.09,73280,155684,"Michael Mann","Russell Crowe","Al Pacino","Christopher Plummer","Diane Venora",0.723,0.78
"Dosięgnąć Kosmosu",7.8,6.57,"Biography",7.64239708355751,6.67,5589,79072,"Joe Johnston","Jake Gyllenhaal","Chris Cooper","Laura Dern","Chris Owen",0.657,0.78
"Shrek",7.8,7.78,"Animation",7.43492910168278,7.99,805481,594569,"Andrew Adamson","Mike Myers","Eddie Murphy","Cameron Diaz","John Lithgow",0.778,0.78
"Otwórz Oczy",7.8,7.03,"Drama",7.12636157453295,7.66,17978,62267,"Alejandro Amenábar","Eduardo Noriega","Penélope Cruz","Chete Lera","Fele Martínez",0.703,0.78
"Titanic",7.8,6.95,"Drama",8.07084285413912,8.47,27458,1013502,"James Cameron","Leonardo DiCaprio","Kate Winslet","Billy Zane","Kathy Bates",0.695,0.78
"Hana-Bi",7.8,6.36,"Crime",7.25425679698353,7.25,3431,26546,"Takeshi Kitano","Takeshi Kitano","Kayoko Kishimoto","Ren Osugi","Susumu Terajima",0.636,0.78
"Gattaca - Szok Przyszłości",7.8,7.24,"Drama",7.90394428900772,7.45,48193,273102,"Andrew Niccol","Ethan Hawke","Uma Thurman","Jude Law","Gore Vidal",0.724,0.78
"Gra",7.8,7.81,"Thriller",7.44608064504559,8.68,198583,332725,"David Fincher","Michael Douglas","Deborah Kara Unger","Sean Penn","James Rebhorn",0.781,0.78
"Ed Wood",7.8,7.06,"Biography",7.72973886970027,8.3,43839,161977,"Tim Burton","Johnny Depp","Martin Landau","Sarah Jessica Parker","Patricia Arquette",0.706,0.78
"Co Gryzie Gilberta Grape'a",7.8,7.74,"Drama",8.01692607536351,7.86,290734,207805,"Lasse Hallström","Johnny Depp","Leonardo DiCaprio","Juliette Lewis","Mary Steenburgen",0.774,0.78
"Tombstone",7.8,7.02,"Action",7.5282930487817,7.38,17491,121414,"George P. Cosmatos","Kurt Russell","Val Kilmer","Sam Elliott","Bill Paxton",0.702,0.78
"Okruchy Dnia",7.8,7.33,"Drama",7.89366765820667,7.79,28420,62967,"James Ivory","Anthony Hopkins","Emma Thompson","John Haycraft","Christopher Reeve",0.733,0.78
"Nadzy",7.8,6.55,"Comedy",7.2939602181537,7.89,4780,32682,"Mike Leigh","David Thewlis","Lesley Sharp","Katrin Cartlidge","Greg Cruttwell",0.655,0.78
"Ścigany",7.8,7.51,"Action",7.74567972307799,7.39,119058,258945,"Andrew Davis","Harrison Ford","Tommy Lee Jones","Sela Ward","Julianne Moore",0.751,0.78
"Prawo Bronxu",7.8,7.65,"Crime",7.41496721233324,8.48,66792,123544,"Robert De Niro","Robert De Niro","Chazz Palminteri","Lillo Brancato","Francis Capra",0.765,0.78
"Dzieci Triady",7.8,6.28,"Action",7.36081881631745,7.03,2706,45460,"John Woo","Yun-Fat Chow","Tony Chiu-Wai Leung","Teresa Mo","Philip Chan",0.628,0.78
"Noc Na Ziemi",7.8,7.51,"Comedy",7.77654716534135,8.15,39296,53317,"Jim Jarmusch","Winona Ryder","Gena Rowlands","Lisanne Falk","Alan Randolph Scott",0.751,0.78
"Podwójne Życie Weroniki",7.8,7.23,"Drama",7.37550758507173,8.39,46347,39654,"Krzysztof Kieslowski","Irène Jacob","Wladyslaw Kowalski","Halina Gryglaszewska","Kalina Jedrusik",0.723,0.78
"Misery",7.8,7.5,"Drama",7.53356664257849,7.13,157264,176612,"Rob Reiner","James Caan","Kathy Bates","Richard Farnsworth","Frances Sternhagen",0.75,0.78
"Ścieżka Strachu",7.8,6.62,"Crime",7.37734212965308,8.05,9233,122779,"Joel Coen","Gabriel Byrne","Albert Finney","John Turturro","Marcia Gay Harden",0.662,0.78
"Przebudzenia",7.8,7.92,"Biography",7.64512374545103,7.77,109762,119049,"Penny Marshall","Robert De Niro","Robin Williams","Julie Kavner","Ruth Nelson",0.792,0.78
"Podniebna Poczta Kiki",7.8,6.92,"Animation",7.46588628762542,8.06,15818,114359,"Hayao Miyazaki","Kirsten Dunst","Minami Takayama","Rei Sakuma","Kappei Yamaguchi",0.692,0.78
"Chwała",7.8,6.75,"Biography",7.63534851563331,7.79,10033,117362,"Edward Zwick","Matthew Broderick","Denzel Washington","Cary Elwes","Morgan Freeman",0.675,0.78
"Płatny Morderca",7.8,6.23,"Action",7.34008958566629,7.03,1694,44641,"John Woo","Yun-Fat Chow","Danny Lee","Sally Yeh","Kong Chu",0.623,0.78
"Powrót Do Przyszłości Ii",7.8,7.31,"Adventure",7.62126361533265,8.21,149443,459649,"Robert Zemeckis","Michael J. Fox","Christopher Lloyd","Lea Thompson","Thomas F. Wilson",0.731,0.78
"Mississippi W Ogniu",7.8,7.07,"Crime",7.83000573742199,8.2,17037,84002,"Alan Parker","Gene Hackman","Willem Dafoe","Frances McDormand","Brad Dourif",0.707,0.78
"Predator",7.8,7.22,"Sci-Fi",7.2966547161335,8.13,154519,361248,"John McTiernan","Arnold Schwarzenegger","Carl Weathers","Kevin Peter Hall","Elpidia Carrillo",0.722,0.78
"Martwe Zło Ii",7.8,6.86,"Comedy",7.65581192860252,7.49,25719,143238,"Sam Raimi","Bruce Campbell","Sarah Berry","Dan Hicks","Kassie Wesley DePaiva",0.686,0.78
"Wolny Dzień Ferrisa Buellera",7.8,6.63,"Comedy",6.89427011277612,7.28,13257,308486,"John Hughes","Matthew Broderick","Alan Ruck","Mia Sara","Jeffrey Jones",0.663,0.78
"Poza Prawem",7.8,6.19,"Comedy",7.47940529519518,8.15,2334,46315,"Jim Jarmusch","Tom Waits","John Lurie","Roberto Benigni","Nicoletta Braschi",0.619,0.78
"Blue Velvet",7.8,7.24,"Drama",7.62557241636419,8.57,48146,173813,"David Lynch","Isabella Rossellini","Kyle MacLachlan","Dennis Hopper","Laura Dern",0.724,0.78
"Goonies",7.8,7.05,"Adventure",7.5531948690941,7.98,30091,233277,"Richard Donner","Sean Astin","Josh Brolin","Jeff Cohen","Corey Feldman",0.705,0.78
"Kolor Purpury",7.8,7.44,"Drama",7.35209548437279,8.11,39439,75292,"Steven Spielberg","Danny Glover","Whoopi Goldberg","Oprah Winfrey","Margaret Avery",0.744,0.78
"Pola Śmierci",7.8,6.71,"War",7.28916753621947,7.71,14346,49844,"Roland Joffé","Sam Waterston","Haing S. Ngor","John Malkovich","Julian Sands",0.671,0.78
"Pogromcy Duchów",7.8,6.91,"Action",7.50687116747249,6.68,97683,343306,"Ivan Reitman","Bill Murray","Dan Aykroyd","Sigourney Weaver","Harold Ramis",0.691,0.78
"Pierwszy Krok W Kosmos",7.8,6.26,"Adventure",7.46409519539206,7.37,2469,54445,"Philip Kaufman","Sam Shepard","Scott Glenn","Ed Harris","Dennis Quaid",0.626,0.78
"Król Komedii",7.8,6.63,"Comedy",7.34978880865421,8.59,8265,82012,"Martin Scorsese","Robert De Niro","Jerry Lewis","Diahnne Abbott","Sandra Bernhard",0.663,0.78
"E.t.",7.8,7.02,"Sci-Fi",7.05590947415496,8.11,129144,357970,"Steven Spielberg","Henry Thomas","Drew Barrymore","Peter Coyote","Dee Wallace",0.702,0.78
"Sprawa Kramerów",7.8,7.31,"Drama",7.46184641816636,7.31,34033,127378,"Robert Benton","Dustin Hoffman","Meryl Streep","Jane Alexander","Justin Henry",0.731,0.78
"Halloween",7.8,6.07,"Horror",7.23895179602343,7.94,21455,219901,"John Carpenter","Donald Pleasence","Jamie Lee Curtis","Tony Moran","Nancy Kyes",0.607,0.78
"Niebiańskie Dni",7.8,6.34,"Drama",7.21092274212264,7.72,3945,49971,"Terrence Malick","Richard Gere","Brooke Adams","Sam Shepard","Linda Manz",0.634,0.78
"Człowiek, Który Chciał Być Królem",7.8,6.43,"Adventure",7.85667898318677,7.01,3728,42712,"John Huston","Sean Connery","Michael Caine","Christopher Plummer","Saeed Jaffrey",0.643,0.78
"Rozmowa",7.8,7,"Drama",7.31364234846808,8.73,18272,94037,"Francis Ford Coppola","Gene Hackman","John Cazale","Allen Garfield","Frederic Forrest",0.7,0.78
"Dzień Szakala",7.8,7,"Crime",7.11913840059421,7.96,12449,36059,"Fred Zinnemann","Edward Fox","Terence Alexander","Michel Auclair","Alan Badel",0.7,0.78
"Badlands",7.8,6.42,"Crime",7.34943731819477,7.72,6249,62904,"Terrence Malick","Martin Sheen","Sissy Spacek","Warren Oates","Ramon Bieri",0.642,0.78
"Kabaret",7.8,7.53,"Drama",7.23141657023489,8.28,32955,46526,"Bob Fosse","Liza Minnelli","Michael York","Helmut Griem","Joel Grey",0.753,0.78
"Nocny Kowboj",7.8,7.05,"Drama",7.7580533174884,7.71,19290,97298,"John Schlesinger","Dustin Hoffman","Jon Voight","Sylvia Miles","John McGiver",0.705,0.78
"Doczekać Zmroku",7.8,6.63,"Thriller",7.43831320206118,7.3,6416,26772,"Terence Young","Audrey Hepburn","Alan Arkin","Richard Crenna","Efrem Zimbalist Jr.",0.663,0.78
"Zgadnij, Kto Przyjdzie Na Obiad",7.8,6.49,"Comedy",7.87613344972997,8.08,4416,37688,"Stanley Kramer","Spencer Tracy","Sidney Poitier","Katharine Hepburn","Katharine Houghton",0.649,0.78
"Parszywa Dwunastka",7.8,7.32,"War",7.41633660622848,7.73,47530,65049,"Robert Aldrich","Lee Marvin","Ernest Borgnine","Charles Bronson","John Cassavetes",0.732,0.78
"Bonnie I Clyde",7.8,7.19,"Action",7.38564817151446,7.69,29105,99208,"Arthur Penn","Warren Beatty","Faye Dunaway","Michael J. Pollard","Gene Hackman",0.719,0.78
"My Fair Lady",7.8,7.01,"Drama",7.31133210522589,7.98,14490,83854,"George Cukor","Audrey Hepburn","Rex Harrison","Stanley Holloway","Wilfrid Hyde-White",0.701,0.78
"Mary Poppins",7.8,6.72,"Comedy",7.33136601618277,7.56,8184,152605,"Robert Stevenson","Julie Andrews","Dick Van Dyke","David Tomlinson","Glynis Johns",0.672,0.78
"Jules I Jim",7.8,6.3,"Drama",7.058937150897,7.72,3011,36002,"François Truffaut","Jeanne Moreau","Oskar Werner","Henri Serre","Vanna Urbino",0.63,0.78
"Dziesięcioro Przykazań",7.8,6.4,"Adventure",7.36685706985309,7.52,3072,61729,"Cecil B. DeMille","Charlton Heston","Yul Brynner","Anne Baxter","Edward G. Robinson",0.64,0.78
"Spokojny Człowiek",7.8,6.06,"Comedy",7.09736278449433,7.65,639,33489,"John Ford","John Wayne","Maureen O'Hara","Barry Fitzgerald","Ward Bond",0.606,0.78
"Rzeka Czerwona",7.8,6.33,"Action",7.59127472111182,7.83,2589,27017,"Howard Hawks","John Wayne","Montgomery Clift","Joanne Dru","Walter Brennan",0.633,0.78
"Key Largo",7.8,6.32,"Action",7.44643409686476,7.01,2976,35884,"John Huston","Humphrey Bogart","Edward G. Robinson","Lauren Bacall","Lionel Barrymore",0.632,0.78
"Mieć I Nie Mieć",7.8,6.33,"Adventure",7.55493255042103,7.83,2586,29853,"Howard Hawks","Humphrey Bogart","Lauren Bacall","Walter Brennan","Dolores Moran",0.633,0.78
"Cień Wątpliwości",7.8,6.28,"Thriller",6.95965645212424,8.48,2980,57174,"Alfred Hitchcock","Teresa Wright","Joseph Cotten","Macdonald Carey","Henry Travers",0.628,0.78
"Starsza Pani Znika",7.8,6.66,"Thriller",6.85842835132405,8.48,8821,45470,"Alfred Hitchcock","Margaret Lockwood","Michael Redgrave","Paul Lukas","May Whitty",0.666,0.78
"Narzeczona Frankensteina",7.8,6.25,"Drama",6.98563000931283,7.55,3003,41664,"James Whale","Boris Karloff","Elsa Lanchester","Colin Clive","Valerie Hobson",0.625,0.78
"Kacza Zupa",7.8,6.48,"Comedy",6.9385975089647,7.16,4643,54272,"Leo McCarey","Groucho Marx","Harpo Marx","Chico Marx","Zeppo Marx",0.648,0.78
"Frankenstein",7.8,6.49,"Drama",7.0518235793045,7.55,6026,62531,"James Whale","Colin Clive","Mae Clarke","Boris Karloff","John Boles",0.649,0.78
"Pewnego Razu W Hollywood",7.7,7.22,"Comedy",8.36879880901301,8.88,146124,475191,"Quentin Tarantino","Leonardo DiCaprio","Brad Pitt","Margot Robbie","Emile Hirsch",0.722,0.77
"Roma",7.7,6.73,"Drama",6.9452819149378,8.15,43642,131244,"Alfonso Cuarón","Yalitza Aparicio","Marina de Tavira","Diego Cortina Autrey","Carlos Peralta",0.673,0.77
"Deadpool 2",7.7,7.5,"Action",7.68488059333192,7.72,152223,452499,"David Leitch","Ryan Reynolds","Josh Brolin","Morena Baccarin","Julian Dennison",0.75,0.77
"Wind River. Na Przeklętej Ziemi",7.7,7.16,"Crime",7.12083711507959,7.37,47644,191180,"Taylor Sheridan","Kelsey Asbille","Jeremy Renner","Julia Jones","Teo Briones",0.716,0.77
"Uciekaj!",7.7,6.93,"Horror",7.12353371370462,7.9,130761,461909,"Jordan Peele","Daniel Kaluuya","Allison Williams","Bradley Whitford","Catherine Keener",0.693,0.77
"Mission: Impossible - Fallout",7.7,6.75,"Action",7.68952519069286,7,48685,273856,"Christopher McQuarrie","Tom Cruise","Henry Cavill","Ving Rhames","Simon Pegg",0.675,0.77
"Mężczyzna Imieniem Ove",7.7,7.14,"Comedy",6.92423452310096,7.5,24687,43944,"Hannes Holm","Rolf Lassgård","Bahar Pars","Filip Berg","Ida Engvoll",0.714,0.77
"Co Robimy W Ukryciu",7.7,7.05,"Comedy",7.31633679254642,7.38,71780,146265,"Jemaine Clement","Jemaine Clement","Taika Waititi","Cori Gonzalez-Macuer","Jonny Brugh",0.705,0.77
"Teoria Wszystkiego",7.7,7.52,"Biography",7.96052224570556,7.3,200792,385755,"James Marsh","Eddie Redmayne","Felicity Jones","Tom Prior","Sophie Perry",0.752,0.77
"Kingsman: Tajne Służby",7.7,7.23,"Action",8.09176918989724,8.03,184953,573916,"Matthew Vaughn","Colin Firth","Taron Egerton","Samuel L. Jackson","Michael Caine",0.723,0.77
"Gwiazd Naszych Wina",7.7,7.43,"Drama",7.6018517812494,7.3,216062,332975,"Josh Boone","Shailene Woodley","Ansel Elgort","Nat Wolff","Laura Dern",0.743,0.77
"Earl I Ja, I Umierająca Dziewczyna",7.7,6.98,"Comedy",7.360164518728,7.44,30951,119257,"Alfonso Gomez-Rejon","Thomas Mann","RJ Cyler","Olivia Cooke","Nick Offerman",0.698,0.77
"Życie Adeli - Rozdział 1 I 2",7.7,6.79,"Drama",7.23503925879016,7.49,38746,133331,"Abdellatif Kechiche","Léa Seydoux","Adèle Exarchopoulos","Salim Kechiouche","Aurélien Recoing",0.679,0.77
"Kapitan Ameryka: Zimowy Żołnierz",7.7,7.23,"Action",8.08720131710525,8.23,176720,711764,"Anthony Russo","Chris Evans","Samuel L. Jackson","Scarlett Johansson","Robert Redford",0.723,0.77
"Nebraska",7.7,6.93,"Adventure",7.37476814540458,7.3,19962,109683,"Alexander Payne","Bruce Dern","Will Forte","June Squibb","Bob Odenkirk",0.693,0.77
"Ralph Demolka",7.7,7.06,"Animation",7.04916488777971,8.05,76097,367659,"Rich Moore","John C. Reilly","Jack McBrayer","Jane Lynch","Sarah Silverman",0.706,0.77
"Mały Książę",7.7,7.52,"Animation",7.78457697018142,7.58,82548,54183,"Mark Osborne","Jeff Bridges","Mackenzie Foy","Rachel McAdams","Marion Cotillard",0.752,0.77
"Z Dystansu",7.7,7.51,"Drama",7.53085744252686,8.15,51547,73796,"Tony Kaye","Adrien Brody","Christina Hendricks","Marcia Gay Harden","Lucy Liu",0.751,0.77
"O Północy W Paryżu",7.7,7.05,"Comedy",7.46898216748734,7.49,190510,374636,"Woody Allen","Owen Wilson","Rachel McAdams","Kathy Bates","Kurt Fuller",0.705,0.77
"Narodziny Gwiazdy",7.7,7.4,"Drama",7.59503675152147,8.22,159639,309946,"Bradley Cooper","Lady Gaga","Bradley Cooper","Sam Elliott","Greg Grunberg",0.74,0.77
"Grawitacja",7.7,6.57,"Drama",7.77910012066536,8.15,208547,748855,"Alfonso Cuarón","Sandra Bullock","George Clooney","Ed Harris","Orto Ignatiussen",0.657,0.77
"W Ciemność. Star Trek",7.7,6.98,"Sci-Fi",7.88241500870915,7.38,81450,456337,"J.J. Abrams","Chris Pine","Zachary Quinto","Zoe Saldana","Benedict Cumberbatch",0.698,0.77
"Beasts Of No Nation",7.7,6.71,"Drama",6.8983305509182,8.29,11881,70289,"Cary Joji Fukunaga","Abraham Attah","Emmanuel Affadzi","Ricky Adelayitor","Andrew Adote",0.671,0.77
"The Social Network",7.7,6.96,"Biography",7.57964340259421,8.68,220458,601334,"David Fincher","Jesse Eisenberg","Andrew Garfield","Justin Timberlake","Rooney Mara",0.696,0.77
"X-Men: Pierwsza Klasa",7.7,7.23,"Action",8.01725118795316,8.03,170152,632644,"Matthew Vaughn","James McAvoy","Michael Fassbender","Jennifer Lawrence","Kevin Bacon",0.723,0.77
"Kac Vegas",7.7,7.28,"Comedy",7.68448993727019,7.91,708424,700101,"Todd Phillips","Zach Galifianakis","Bradley Cooper","Justin Bartha","Ed Helms",0.728,0.77
"Skyfall",7.7,7.35,"Action",7.80972391237114,8.14,260848,616158,"Sam Mendes","Daniel Craig","Javier Bardem","Naomie Harris","Judi Dench",0.735,0.77
"Poradnik Pozytywnego Myślenia",7.7,7.16,"Comedy",8.04308542409109,7.65,284873,646089,"David O. Russell","Bradley Cooper","Jennifer Lawrence","Robert De Niro","Jacki Weaver",0.716,0.77
"Operacja Argo",7.7,7.21,"Biography",7.75780070563281,7.4,132884,558757,"Ben Affleck","Ben Affleck","Bryan Cranston","John Goodman","Alan Arkin",0.721,0.77
