"titles","imdb_rate","filmweb_rate","genre","mean_act_rate","dir.rate","filmweb_votes","imdb_votes","directors","star1","star2","star3","star4","filmweb_rate_01","imdb_rate_01"
"Toy Story 3",8.3,7.11,"Animation",7.50704269038238,8.15,38102,181322,"Lee Unkrich","Tom Hanks","Tim Allen","Joan Cusack","Ned Beatty",0.711,0.83
"Bękarty Wojny",8.3,7.96,"War",7.65662062721132,8.88,552308,1213446,"Quentin Tarantino","Brad Pitt","Diane Kruger","Eli Roth","Mélanie Laurent",0.796,0.83
"Zakochany Bez Pamięci",8.3,7.21,"Drama",7.9124937244555,7.46,139565,878621,"Michel Gondry","Jim Carrey","Kate Winslet","Tom Wilkinson","Gerry Robert Byrne",0.721,0.83
"Amelia",8.3,7.54,"Comedy",7.28499598403757,7.84,257771,684518,"Jean-Pierre Jeunet","Audrey Tautou","Mathieu Kassovitz","Rufus","Lorella Cravotta",0.754,0.83
"Przekręt",8.3,7.92,"Comedy",7.96192131970628,8.13,240834,759095,"Guy Ritchie","Jason Statham","Brad Pitt","Benicio Del Toro","Dennis Farina",0.792,0.83
"Requiem Dla Snu",8.3,7.77,"Drama",7.73935559792345,8.14,653309,740605,"Darren Aronofsky","Ellen Burstyn","Jared Leto","Jennifer Connelly","Marlon Wayans",0.777,0.83
"American Beauty",8.3,7.57,"Drama",7.69207433304973,8.14,503608,1039743,"Sam Mendes","Kevin Spacey","Annette Bening","Thora Birch","Wes Bentley",0.757,0.83
"Buntownik Z Wyboru",8.3,8.02,"Drama",7.85999217193008,7.79,265693,826164,"Gus Van Sant","Robin Williams","Matt Damon","Ben Affleck","Stellan Skarsgård",0.802,0.83
"Braveheart - Waleczne Serce",8.3,8.05,"Biography",7.49252099373458,8.1,388154,933892,"Mel Gibson","Mel Gibson","Sophie Marceau","Patrick McGoohan","Angus Macfadyen",0.805,0.83
"Wściekłe Psy",8.3,7.91,"Crime",7.42909582716243,8.88,206917,886265,"Quentin Tarantino","Harvey Keitel","Tim Roth","Michael Madsen","Chris Penn",0.791,0.83
"Pełny Magazynek",8.3,7.88,"War",7.41053375505578,8.84,151559,649916,"Stanley Kubrick","Matthew Modine","R. Lee Ermey","Vincent D'Onofrio","Adam Baldwin",0.788,0.83
"Idź I Patrz",8.3,7.2,"Drama",6.96268241834607,7.97,13273,51193,"Elem Klimov","Aleksey Kravchenko","Olga Mironova","Liubomiras Laucevicius","Vladas Bagdonas",0.72,0.83
"Obcy - Decydujące Starcie",8.3,7.52,"Action",7.25112793079144,8.47,197628,632757,"James Cameron","Sigourney Weaver","Michael Biehn","Carrie Henn","Paul Reiser",0.752,0.83
"Amadeusz",8.3,7.93,"Biography",7.27688681503492,8.6,115174,357097,"Milos Forman","F. Murray Abraham","Tom Hulce","Elizabeth Berridge","Roy Dotrice",0.793,0.83
"Człowiek Z Blizną",8.3,8.21,"Crime",7.80482358491039,8.07,245310,711596,"Brian De Palma","Al Pacino","Michelle Pfeiffer","Steven Bauer","Mary Elizabeth Mastrantonio",0.821,0.83
"Gwiezdne Wojny: Część Vi - Powrót Jedi",8.3,8.03,"Sci-Fi",7.82346633473459,8.08,280780,919032,"Richard Marquand","Mark Hamill","Harrison Ford","Carrie Fisher","Billy Dee Williams",0.803,0.83
"Okręt",8.3,7.47,"Adventure",6.92784278059796,7.93,44130,223407,"Wolfgang Petersen","Jürgen Prochnow","Herbert Grönemeyer","Klaus Wennemann","Hubertus Bengsch",0.747,0.83
"Taksówkarz",8.3,7.81,"Crime",7.63204402656513,8.59,207860,693007,"Martin Scorsese","Robert De Niro","Jodie Foster","Cybill Shepherd","Albert Brooks",0.781,0.83
"Żądło",8.3,7.83,"Comedy",7.62242518517342,8.04,68581,233536,"George Roy Hill","Paul Newman","Robert Redford","Robert Shaw","Charles Durning",0.783,0.83
"Mechaniczna Pomarańcza",8.3,7.81,"Crime",7.22712737574229,8.84,201385,732162,"Stanley Kubrick","Malcolm McDowell","Patrick Magee","Michael Bates","Warren Clarke",0.781,0.83
"2001: Odyseja Kosmiczna",8.3,6.85,"Adventure",6.83064907554332,8.84,18888,579861,"Stanley Kubrick","Keir Dullea","Gary Lockwood","William Sylvester","Daniel Richter",0.685,0.83
"Za Kilka Dolarów Więcej",8.3,7.74,"Western",7.97777477805198,8.7,48026,222422,"Sergio Leone","Clint Eastwood","Lee Van Cleef","Gian Maria Volontè","Mara Krupp",0.774,0.83
"Lawrence Z Arabii",8.3,7.04,"Adventure",7.64520889645927,8.33,18646,257963,"David Lean","Peter O'Toole","Alec Guinness","Anthony Quinn","Jack Hawkins",0.704,0.83
"Garsoniera",8.3,6.93,"Comedy",7.45216616732815,8.13,10608,156235,"Billy Wilder","Jack Lemmon","Shirley MacLaine","Fred MacMurray","Ray Walston",0.693,0.83
"Północ - Północny Zachód",8.3,7.24,"Thriller",7.3222569670821,8.48,21895,287935,"Alfred Hitchcock","Cary Grant","Eva Marie Saint","James Mason","Jessie Royce Landis",0.724,0.83
"Zawrót Głowy",8.3,7.36,"Thriller",7.33058373997588,8.48,30626,346195,"Alfred Hitchcock","James Stewart","Kim Novak","Barbara Bel Geddes","Tom Helmore",0.736,0.83
"Deszczowa Piosenka",8.3,7.58,"Comedy",7.20335906004719,7.61,50043,210238,"Stanley Donen","Gene Kelly","Donald O'Connor","Debbie Reynolds","Jean Hagen",0.758,0.83
"Piętno Śmierci",8.3,6.54,"Drama",7.26739617010694,8.37,3951,63891,"Akira Kurosawa","Takashi Shimura","Nobuo Kaneko","Shin'ichi Himori","Haruo Tanaka",0.654,0.83
